Class,Class Count,Class Percentage,Property,Property Count,Property Percentage
Corporation,1,12.5,,,
WebSite,1,12.5,,,
Hotel,6,75.0,,,
,,,@context,8,10.0
,,,@type,8,10.0
,,,legalName,1,1.25
,,,url,8,10.0
,,,description,7,8.75
,,,address,7,8.75
,,,faxNumber,1,1.25
,,,logo,1,1.25
,,,founder,1,1.25
,,,foundingDate,1,1.25
,,,foundingLocation,1,1.25
,,,areaServed,1,1.25
,,,brand,1,1.25
,,,keywords,1,1.25
,,,parentOrganization,1,1.25
,,,sameAs,1,1.25
,,,potentialAction,1,1.25
,,,priceRange,6,7.5
,,,aggregateRating,6,7.5
,,,name,6,7.5
,,,image,6,7.5
,,,hasMap,6,7.5
